site;year;adult;young;cox;coy;ele;len;pre;pro;wid;cor;spm;spr;bm;bv
bz16;2012;3000;3000;;;;;;;;;;;;
bz17;2012;NA;NA;;;;;;;;;;;;
bz18;2012;0;0;;;;;;;;;;;;
bz19;2012;0;0;;;;;;;;;;;;
bz20;2012;4;0;;;;;;;;;;;;
bz21;2012;1;0;;;;;;;;;;;;
bz22;2012;0;0;;;;;;;;;;;;
bz23;2012;1;0;;;;;;;;;;;;
bz24;2012;0;0;;;;;;;;;;;;
bz25;2012;900;100;;;;;;;;;;;;
bz26;2012;3000;300;;;;;;;;;;;;
bz27;2012;35;0;;;;;;;;;;;;
bz28;2012;1;0;;;;;;;;;;;;
bz29;2012;10;0;;;;;;;;;;;;
bz30;2012;0;0;;;;;;;;;;;;
bz31;2012;220;10;;;;;;;;;;;;
bz32;2012;5;0;;;;;;;;;;;;
bz33;2012;50;0;;;;;;;;;;;;
bz34;2012;0;0;;;;;;;;;;;;
bz35;2012;0;0;;;;;;;;;;;;
bz36;2012;10;0;;;;;;;;;;;;
bz37;2012;0;0;;;;;;;;;;;;
bz38;2012;80;50;;;;;;;;;;;;
bz39;2012;35;10;;;;;;;;;;;;
bz40;2012;0;0;;;;;;;;;;;;
bz41;2012;10;0;;;;;;;;;;;;
bz42;2012;50;0;;;;;;;;;;;;
bz43;2012;NA;NA;;;;;;;;;;;;
bz44;2012;0;0;;;;;;;;;;;;
bz45;2012;700;10;;;;;;;;;;;;
bz46;2012;12;0;;;;;;;;;;;;
bz47;2012;0;0;;;;;;;;;;;;
bz48;2012;0;0;;;;;;;;;;;;
bz49;2012;3;0;;;;;;;;;;;;
bz50;2012;4;30;;;;;;;;;;;;
bz51;2012;20;10;;;;;;;;;;;;
bz52;2012;80;70;;;;;;;;;;;;
bz53;2012;60;10;;;;;;;;;;;;
bz54;2012;5;0;;;;;;;;;;;;
bz55;2012;750;10;;;;;;;;;;;;
bz56;2012;50;40;;;;;;;;;;;;
bz57;2012;50;0;;;;;;;;;;;;
bz58;2012;1;0;;;;;;;;;;;;
bz59;2012;1;0;;;;;;;;;;;;
tn1;2012;8;1;;;;;;;;;;;;
tn2;2012;0;4;;;;;;;;;;;;
tn3;2012;9;3;;;;;;;;;;;;
tn4;2012;3;0;;;;;;;;;;;;
tn5;2012;0;0;;;;;;;;;;;;
tn6;2012;16;6;;;;;;;;;;;;
tn7;2012;1;0;;;;;;;;;;;;
tn8;2012;375;90;;;;;;;;;;;;
tn9;2012;75;10;;;;;;;;;;;;
tn10;2012;3;0;;;;;;;;;;;;
tn11;2012;0;0;;;;;;;;;;;;
tn12;2012;0;0;;;;;;;;;;;;
tn13;2012;60;1;;;;;;;;;;;;
tn14;2012;8;13;;;;;;;;;;;;
tn15;2012;0;2;;;;;;;;;;;;
tn16;2012;0;0;;;;;;;;;;;;
tn17;2012;0;0;;;;;;;;;;;;
tn18;2012;0;0;;;;;;;;;;;;
tn19;2012;13;0;;;;;;;;;;;;
tn20;2012;0;0;;;;;;;;;;;;
tn21;2012;0;1;;;;;;;;;;;;
bl1;2012;NA;NA;;;;;;;;;;;;
bl2;2012;NA;NA;;;;;;;;;;;;
bl3;2012;NA;NA;;;;;;;;;;;;
bl4;2012;NA;NA;;;;;;;;;;;;
bl5;2012;NA;NA;;;;;;;;;;;;
bl6;2012;NA;NA;;;;;;;;;;;;
bl7;2012;NA;NA;;;;;;;;;;;;
bl8;2012;NA;NA;;;;;;;;;;;;
bl9;2012;NA;NA;;;;;;;;;;;;
bl10;2012;NA;NA;;;;;;;;;;;;
bl11;2012;NA;NA;;;;;;;;;;;;
bl12;2012;NA;NA;;;;;;;;;;;;
bl13;2012;NA;NA;;;;;;;;;;;;
bl14;2012;NA;NA;;;;;;;;;;;;
bl15;2012;NA;NA;;;;;;;;;;;;
bl16;2012;NA;NA;;;;;;;;;;;;
bl17;2012;NA;NA;;;;;;;;;;;;
vi1;2012;NA;NA;;;;;;;;;;;;
vi2;2012;NA;NA;;;;;;;;;;;;
pd1;2012;NA;NA;;;;;;;;;;;;
bz1;2013;0;0;;;;;;;;;;;;
bz2;2013;0;0;;;;;;;;;;;;
bz3;2013;0;0;;;;;;;;;;;;
bz4;2013;9;0;;;;;;;;;;;;
bz5;2013;150;10;;;;;;;;;;;;
bz6;2013;1;0;;;;;;;;;;;;
bz7;2013;3;0;;;;;;;;;;;;
bz8;2013;7;0;;;;;;;;;;;;
bz9;2013;0;0;;;;;;;;;;;;
bz10;2013;0;0;;;;;;;;;;;;
bz11;2013;8;0;;;;;;;;;;;;
bz12;2013;NA;NA;;;;;;;;;;;;
bz13;2013;300;300;;;;;;;;;;;;
bz14;2013;300;10;;;;;;;;;;;;
bz15;2013;300;15;;;;;;;;;;;;
bz16;2013;3000;3000;;;;;;;;;;;;
bz17;2013;NA;NA;;;;;;;;;;;;
bz18;2013;0;0;;;;;;;;;;;;
bz19;2013;0;0;;;;;;;;;;;;
bz20;2013;4;0;;;;;;;;;;;;
bz21;2013;1;0;;;;;;;;;;;;
bz22;2013;0;0;;;;;;;;;;;;
bz23;2013;1;0;;;;;;;;;;;;
bz24;2013;0;0;;;;;;;;;;;;
bz25;2013;900;150;;;;;;;;;;;;
bz26;2013;3000;300;;;;;;;;;;;;
bz27;2013;35;0;;;;;;;;;;;;
bz28;2013;1;0;;;;;;;;;;;;
bz29;2013;10;0;;;;;;;;;;;;
bz30;2013;0;0;;;;;;;;;;;;
bz31;2013;210;30;;;;;;;;;;;;
bz32;2013;5;0;;;;;;;;;;;;
bz33;2013;50;0;;;;;;;;;;;;
bz34;2013;0;0;;;;;;;;;;;;
bz35;2013;0;0;;;;;;;;;;;;
bz36;2013;10;0;;;;;;;;;;;;
bz37;2013;0;0;;;;;;;;;;;;
bz38;2013;75;30;;;;;;;;;;;;
bz39;2013;10;0;;;;;;;;;;;;
bz40;2013;0;0;;;;;;;;;;;;
bz41;2013;8;0;;;;;;;;;;;;
bz42;2013;40;0;;;;;;;;;;;;
bz43;2013;NA;NA;;;;;;;;;;;;
bz44;2013;0;0;;;;;;;;;;;;
bz45;2013;700;10;;;;;;;;;;;;
bz46;2013;12;0;;;;;;;;;;;;
bz47;2013;0;0;;;;;;;;;;;;
bz48;2013;0;0;;;;;;;;;;;;
bz49;2013;3;0;;;;;;;;;;;;
bz50;2013;4;4;;;;;;;;;;;;
bz51;2013;15;0;;;;;;;;;;;;
bz52;2013;120;80;;;;;;;;;;;;
bz53;2013;60;15;;;;;;;;;;;;
bz54;2013;5;0;;;;;;;;;;;;
bz55;2013;725;10;;;;;;;;;;;;
bz56;2013;75;40;;;;;;;;;;;;
bz57;2013;50;0;;;;;;;;;;;;
bz58;2013;1;0;;;;;;;;;;;;
bz59;2013;1;0;;;;;;;;;;;;
tn1;2013;9;0;;;;;;;;;;;;
tn2;2013;0;4;;;;;;;;;;;;
tn3;2013;7;0;;;;;;;;;;;;
tn4;2013;2;0;;;;;;;;;;;;
tn5;2013;0;0;;;;;;;;;;;;
tn6;2013;16;6;;;;;;;;;;;;
tn7;2013;1;0;;;;;;;;;;;;
tn8;2013;325;40;;;;;;;;;;;;
tn9;2013;75;10;;;;;;;;;;;;
tn10;2013;2;0;;;;;;;;;;;;
tn11;2013;0;0;;;;;;;;;;;;
tn12;2013;0;0;;;;;;;;;;;;
tn13;2013;50;2;;;;;;;;;;;;
tn14;2013;12;0;;;;;;;;;;;;
tn15;2013;0;2;;;;;;;;;;;;
tn16;2013;0;0;;;;;;;;;;;;
tn17;2013;0;0;;;;;;;;;;;;
tn18;2013;0;0;;;;;;;;;;;;
tn19;2013;7;0;;;;;;;;;;;;
tn20;2013;0;0;;;;;;;;;;;;
tn21;2013;1;0;;;;;;;;;;;;
bl1;2013;NA;NA;;;;;;;;;;;;
bl2;2013;NA;NA;;;;;;;;;;;;
bl3;2013;NA;NA;;;;;;;;;;;;
bl4;2013;NA;NA;;;;;;;;;;;;
bl5;2013;NA;NA;;;;;;;;;;;;
bl6;2013;NA;NA;;;;;;;;;;;;
bl7;2013;NA;NA;;;;;;;;;;;;
bl8;2013;NA;NA;;;;;;;;;;;;
bl9;2013;NA;NA;;;;;;;;;;;;
bl10;2013;NA;NA;;;;;;;;;;;;
